Type_agglo;ratio_HAMON;ratio_DUPONT-AIGNAN;ratio_LASSALLE;ratio_ARTHAUD;ratio_POUTOU;ratio_ASSELINEAU;ratio_MACRON;ratio_MÉLENCHON;ratio_FILLON;ratio_CHEMINADE;ratio_LE PEN;ratio_Nuls
Village;5.001336908192645;5.610230877164518;2.169280559014647;0.7422274116761446;1.2443958682027823;0.8009220839180766;19.351256462067706;16.503992845276628;19.491213681764933;0.18825713815039324;26.09632763303724;0.8591591399521881
Bourg;5.456662702201486;5.278407267876176;1.2745849394411781;0.6872417269268505;1.1289062537385184;0.7857453666188688;22.16443848169826;17.551987807323158;18.975972118100973;0.17296968985716346;23.8744816493848;0.7920200767989103
Petit ville;5.937821663148585;4.7345323976188824;1.1121860608553356;0.6499323517250978;1.075956327008688;0.8739399402957007;22.935018024743368;19.12050348324178;18.31697767431356;0.17073864478851358;22.59287213800097;0.7152313971493497
Ville moyenne;6.754461158012572;4.154758649720323;0.9866446837329128;0.5952314089586019;1.0179863176701738;1.0209436064714255;23.762915935648298;21.000023021280875;18.47831450188611;0.1770304599985711;19.68480460775969;0.6553544062529807
Grande ville;7.364662160151406;3.669485997933302;0.93247220262948;0.5611446275623826;1.0061468671540625;0.9847059578112799;24.605010252452075;21.662348572196933;19.114748248846954;0.17028051464494454;17.701614363655644;0.5848575792962081
Métropole;9.22917406774708;2.551250470986109;0.734831948738574;0.3840208131545428;0.8658410347768336;0.9370159362687412;27.234925322119818;24.49673030412483;19.84198688160207;0.1491220286453951;11.851664657880825;0.47542489759651474
