;Indice_vieillissement;ratio_FILLON
0;67.5;21.73913043478261
1;66.7;18.478260869565215
2;62.1;16.364734299516908
3;58.1;20.58516196447231
4;173.3;17.72151898734177
5;54.6;14.45409429280397
6;56.4;17.142857142857142
7;123.6;20.657276995305164
8;55.3;13.78737541528239
9;60.7;19.82758620689655
10;109.0;10.222222222222223
11;80.6;20.72072072072072
12;80.6;20.6875753920386
13;118.1;17.763157894736842
14;63.2;19.841269841269842
15;86.4;12.977099236641221
16;120.0;17.857142857142858
17;60.6;34.10757946210269
18;105.1;16.929698708751793
19;71.8;31.914893617021278
20;57.0;20.25383395029085
21;46.2;16.850393700787404
22;123.8;21.902654867256636
23;30.5;19.03353057199211
24;52.4;16.9811320754717
25;73.6;14.44759206798867
26;40.8;22.572815533980584
27;64.8;21.059782608695652
28;42.7;17.17557251908397
29;64.4;17.666051660516604
30;90.8;19.44188191881919
31;76.3;13.942307692307693
32;109.3;20.64343163538874
33;94.2;31.868131868131865
34;71.3;23.991935483870968
35;77.4;13.793103448275861
36;42.1;20.28985507246377
37;73.6;11.066398390342053
38;61.6;22.797927461139896
39;66.1;25.93619972260749
40;55.7;13.826366559485532
41;42.7;22.5609756097561
42;47.6;19.367588932806324
43;35.7;18.959731543624162
44;57.7;19.06873614190687
45;48.5;23.589743589743588
46;225.0;14.473684210526317
47;109.9;32.01754385964912
48;89.3;20.82803284376084
49;40.3;17.375455650060754
50;81.5;24.796747967479675
51;47.0;9.815950920245399
52;59.4;17.764471057884233
53;121.7;27.167630057803464
54;49.0;14.246947082767978
55;56.1;24.62686567164179
56;100.8;27.5974025974026
57;41.6;9.027777777777777
58;70.9;23.909249563699824
59;130.8;23.333333333333332
60;40.5;19.078947368421055
61;82.8;14.898989898989898
62;53.9;17.212249208025344
63;30.3;28.858098423315816
64;80.6;21.98581560283688
65;114.7;15.352697095435685
66;66.5;19.2090395480226
67;36.2;23.521505376344088
68;268.8;19.587628865979383
69;84.1;16.0
70;61.4;28.862478777589136
71;149.1;18.620689655172416
72;80.4;18.095238095238095
73;62.9;21.75925925925926
74;33.0;13.268608414239482
75;46.1;22.654867256637168
76;46.7;22.31404958677686
77;52.8;20.66115702479339
78;79.5;20.11173184357542
79;47.7;17.80821917808219
80;41.8;17.25
81;76.2;26.605504587155966
82;54.8;16.916916916916914
83;121.6;26.090142909490655
84;82.2;16.39344262295082
85;53.1;15.732758620689655
86;53.8;18.312101910828023
87;77.3;17.224080267558527
88;55.6;16.56686626746507
89;134.6;12.389380530973451
90;75.0;13.559322033898304
91;46.7;17.4573055028463
92;35.3;30.67669172932331
93;69.8;23.137254901960784
94;48.8;25.025125628140703
95;91.8;13.392857142857142
96;100.0;22.330097087378643
97;145.3;21.367521367521366
98;23.9;17.550058892815077
99;129.2;11.214953271028037
100;51.4;17.647058823529413
101;30.4;21.777777777777775
102;55.2;19.35483870967742
103;110.2;19.402985074626866
104;45.1;17.142857142857142
105;111.8;16.120218579234972
106;40.0;12.5
107;84.3;18.76019575856444
108;57.1;23.684210526315788
109;72.9;21.802325581395348
110;97.7;14.645308924485127
111;60.2;15.844155844155845
112;105.0;21.238938053097346
113;65.1;16.38418079096045
114;91.8;17.032967032967033
115;42.1;17.5990675990676
116;75.9;19.09722222222222
117;70.7;19.227313566936207
118;39.7;25.027563395810365
119;55.2;20.352250489236788
120;74.6;13.441955193482688
121;119.2;21.755725190839694
122;91.0;22.5
123;88.1;18.855218855218855
124;44.4;18.33202202989772
125;57.7;37.94632956309603
126;66.2;18.06543385490754
127;35.3;22.17573221757322
128;88.8;18.48184818481848
129;74.4;20.866141732283463
130;54.4;19.040902679830747
131;46.6;18.0
132;95.8;20.816326530612244
133;67.7;20.64128256513026
134;33.7;32.77027027027027
135;77.1;20.72072072072072
136;46.9;18.96869244935543
137;71.2;24.16545718432511
138;40.7;21.72897196261682
139;90.0;26.97495183044316
140;51.5;23.9870921477232
141;72.7;39.705882352941174
142;78.4;23.10924369747899
143;35.4;20.067264573991032
144;59.7;19.817287420941675
145;77.7;16.382978723404253
146;39.8;20.857142857142858
147;27.6;15.555555555555555
148;59.5;27.579365079365083
149;37.3;23.28220214330742
150;60.0;31.683168316831683
151;51.0;18.609406952965234
152;83.3;13.821138211382115
153;85.2;21.092436974789916
154;70.2;46.666666666666664
155;41.4;24.492753623188406
156;58.1;25.089179548156952
157;76.5;17.938144329896907
158;140.0;18.693828639904133
159;99.8;24.47817836812144
160;64.9;26.618705035971225
161;45.2;9.724473257698541
162;152.9;22.47191011235955
163;116.7;26.495726495726498
164;50.0;21.074043938161108
165;106.5;20.0
166;76.7;19.216033009136456
167;75.1;20.236920039486673
168;47.0;17.933130699088146
169;92.4;18.0327868852459
170;43.8;26.666666666666668
171;76.2;17.573221757322173
172;50.0;15.178571428571427
173;77.7;17.91194968553459
174;58.7;16.361256544502616
175;55.1;18.949771689497716
176;73.9;19.473684210526315
177;42.2;34.95575221238938
178;179.2;16.9811320754717
179;42.5;22.033898305084744
180;102.3;31.543624161073826
181;71.4;20.046893317702228
182;70.4;17.233560090702948
183;36.8;11.879895561357703
184;81.2;9.25925925925926
185;74.4;8.108108108108109
186;117.7;23.15369261477046
187;61.4;33.00970873786408
188;40.7;15.313531353135312
189;79.1;27.972027972027973
190;64.3;15.878378378378377
191;70.4;24.93438320209974
192;70.5;22.714285714285715
193;87.8;21.428571428571427
194;87.5;21.74922600619195
195;89.7;23.367198838896954
196;100.0;26.744186046511626
197;116.7;14.285714285714285
198;52.8;21.428571428571427
199;68.8;16.89189189189189
200;48.7;19.818799546998868
201;54.5;23.631990378833436
202;97.2;16.786570743405278
203;58.7;12.980769230769232
204;85.8;19.647058823529413
205;50.0;13.636363636363635
206;52.7;25.950196592398427
207;57.5;17.368936795688388
208;70.9;16.55629139072848
209;72.5;22.36394557823129
210;59.5;28.292682926829265
211;44.5;24.556422995031937
212;58.4;21.34683924216845
213;41.8;18.67145421903052
214;57.7;26.272912423625254
215;70.9;25.754231052244297
216;63.7;18.461538461538463
217;70.9;19.34156378600823
218;44.2;21.087533156498676
219;39.0;17.525773195876287
220;57.5;32.369942196531795
221;57.0;24.641148325358852
222;56.5;17.809466019417474
223;72.3;24.859732412602504
224;49.3;21.52317880794702
225;62.0;20.98844672657253
226;139.6;20.810055865921786
227;63.0;19.831932773109244
228;80.0;25.443786982248522
229;76.2;19.298245614035086
230;89.8;21.257142857142856
231;57.2;14.37185929648241
232;55.1;15.75091575091575
233;68.6;29.38955317809943
234;42.9;17.457114026236127
235;74.1;16.091954022988507
236;143.7;25.675675675675674
237;97.1;35.41666666666667
238;39.8;26.618705035971225
239;59.7;24.285714285714285
240;62.5;21.083123425692698
241;49.2;17.512690355329948
242;55.6;23.7467018469657
243;73.7;14.086687306501547
244;30.8;23.246878001921228
245;110.7;22.429394022484235
246;94.0;29.914529914529915
247;77.1;23.77358490566038
248;58.1;15.254237288135593
249;75.1;18.201284796573873
250;18.9;16.710875331564985
251;65.4;16.363636363636363
